NOME PRODUTO,VALOR PRODUTO,LINK PRODUTO
"Processador Intel Core i7-12700KF, 3.6GHz (5.0GHz Max Turbo), Cache 25MB, 12 Núcleos, 20 Threads, LGA 1700 - BX8071512700KF","R$ 1.927,99",https://www.kabum.com.br/produto/241049/processador-intel-core-i7-12700kf-3-6ghz-5-0ghz-max-turbo-cache-25mb-12-nucleos-20-threads-lga-1700-bx8071512700kf
"Processador Intel Core i7-12700F, 2.1GHz (4.9GHz Max Turbo), Cache 25MB, LGA 1700 - BX8071512700F","R$ 1.789,99",https://www.kabum.com.br/produto/283717/processador-intel-core-i7-12700f-2-1ghz-4-9ghz-max-turbo-cache-25mb-lga-1700-bx8071512700f
"Processador Intel Core i7-13700F, 5.2GHz Max Turbo, Cache 30MB, 16 Núcleos, 24 Threads, LGA 1700 - BX8071513700F","R$ 2.299,99",https://www.kabum.com.br/produto/405763/processador-intel-core-i7-13700f-5-2ghz-max-turbo-cache-30mb-16-nucleos-24-threads-lga-1700-bx8071513700f
"Processador Intel Core i7-13700, 5.2GHz Max Turbo, Cache 30MB, 16 Núcleos, 24 Threads, LGA 1700, Vídeo Integrado - BX8071513700","R$ 2.589,99",https://www.kabum.com.br/produto/405762/processador-intel-core-i7-13700-5-2ghz-max-turbo-cache-30mb-16-nucleos-24-threads-lga-1700-video-integrado-bx8071513700
"Processador Intel Core I7-3770, 3.40GHz, Smart Cache 8MB, LGA 1155, 8 Threads, OEM","R$ 347,14",https://www.kabum.com.br/produto/345256/processador-intel-core-i7-3770-3-40ghz-smart-cache-8mb-lga-1155-8-threads-oem
"Processador Intel Core i7-12700K, 3.6GHz (5.0GHz Max Turbo), 12 Núcleos, 20 Threads, LGA 1700, Vídeo Integrado - BX8071512700K","R$ 1.898,99",https://www.kabum.com.br/produto/241048/processador-intel-core-i7-12700k-3-6ghz-5-0ghz-max-turbo-12-nucleos-20-threads-lga-1700-video-integrado-bx8071512700k
"Processador Intel Core i7-11700K 11ª Geração, 3.6 GHz (4.9GHz Turbo), Cache 16MB, Octa Core, LGA 1200, Vídeo Integrado - BX8070811700K","R$ 1.838,99",https://www.kabum.com.br/produto/148902/processador-intel-core-i7-11700k-11-geracao-3-6-ghz-4-9ghz-turbo-cache-16mb-octa-core-lga-1200-video-integrado-bx8070811700k
"Processador Intel Core I7-10700F 10ª Geração, 2.9GHz (4.8GHz Turbo), Cache 16MB, LGA 1200 - BX8070110700F","R$ 2.444,99",https://www.kabum.com.br/produto/158272/processador-intel-core-i7-10700f-10-geracao-2-9ghz-4-8ghz-turbo-cache-16mb-lga-1200-bx8070110700f
"Processador Intel 11700F Core I7 11ª Geração, 2.50GHz, Box - BX8070811700F","R$ 2.060,99",https://www.kabum.com.br/produto/169601/processador-intel-11700f-core-i7-11-geracao-2-50ghz-box-bx8070811700f
"Processador Intel Core I7-11700 11ª Geração, 2.5GHz (4.9GHz Turbo), Cachê 16MB, LGA 1200 - BX8070811700","R$ 2.869,90",https://www.kabum.com.br/produto/169589/processador-intel-core-i7-11700-11-geracao-2-5ghz-4-9ghz-turbo-cache-16mb-lga-1200-bx8070811700
"Processador Intel Core I7-10700f, Cache 16MB, 2.9ghz, 4.8ghz Max Turbo, LGA 1200","R$ 1.575,00",https://www.kabum.com.br/produto/466270/processador-intel-core-i7-10700f-cache-16mb-2-9ghz-4-8ghz-max-turbo-lga-1200
"Processador Intel I7-8700 / 4,6ghz / 12mb Cache / Fclga1151","R$ 999,00",https://www.kabum.com.br/produto/502889/processador-intel-i7-8700-4-6ghz-12mb-cache-fclga1151
"Processador Intel Core I7-10700, 2.90GHz (4.8GHz Turbo), Cache 16MB, LGA 1200 - BX8070110700","R$ 1.856,02",https://www.kabum.com.br/produto/158285/processador-intel-core-i7-10700-2-90ghz-4-8ghz-turbo-cache-16mb-lga-1200-bx8070110700
"Processador Intel Core I7-12700K, 3.6GHz (5.0GHz Max Turbo), Cache 25MB, LGA 1700 - BX8071512700K","R$ 2.347,56",https://www.kabum.com.br/produto/270886/processador-intel-core-i7-12700k-3-6ghz-5-0ghz-max-turbo-cache-25mb-lga-1700-bx8071512700k
"Processador Intel Core I7-6700, 3.40GHz, Quad Core, 8 Threads, OEM","R$ 712,21",https://www.kabum.com.br/produto/345621/processador-intel-core-i7-6700-3-40ghz-quad-core-8-threads-oem
"Processador Intel Core I7 4770, 3.40ghz 8MB - Lga 1150 - 4ª Geração Oem","R$ 420,05",https://www.kabum.com.br/produto/444811/processador-intel-core-i7-4770-3-40ghz-8mb-lga-1150-4-geracao-oem
"Processador Intel Celeron G5905, 4MB, 3.5ghz, LGA 1200, Bx80701g5905","R$ 334,95",https://www.kabum.com.br/produto/169602/processador-intel-celeron-g5905-4mb-3-5ghz-lga-1200-bx80701g5905
"Processador Intel Core I7-10700KF, 3.8GHz (5.1GHz Max Turbo), Cache 16MB, LGA 1200 - BX8070110700KF","R$ 1.662,35",https://www.kabum.com.br/produto/189544/processador-intel-core-i7-10700kf-3-8ghz-5-1ghz-max-turbo-cache-16mb-lga-1200-bx8070110700kf
"Processador Intel Core I7-10700F, 2.9GHz, Cache 16MB, LGA 1200 - BX8070110700F","R$ 1.932,82",https://www.kabum.com.br/produto/402001/processador-intel-core-i7-10700f-2-9ghz-cache-16mb-lga-1200-bx8070110700f
"Processador Intel Core I7-14700f, Turbo Até 5.4ghz, 20-cores, 28-threads, 33mb Cache, LGA 1700 - Bx8071514700f","R$ 2.702,80",https://www.kabum.com.br/produto/520106/processador-intel-core-i7-14700f-turbo-ate-5-4ghz-20-cores-28-threads-33mb-cache-lga-1700-bx8071514700f
Processador Intel Core I7-13700f Box LGA 1700 30MB Cache) Sem Vídeo Integrado - Bx8071513700f,"R$ 2.560,44",https://www.kabum.com.br/produto/421577/processador-intel-core-i7-13700f-box-lga-1700-30mb-cache-sem-video-integrado-bx8071513700f
"Processador Intel I7-12700KF, 3.6GHz (5.0GHz Max Turbo), Cache 25MB, Dual Core, 20 Threads, LGA 1700 - BX8071512700KF","R$ 2.016,55",https://www.kabum.com.br/produto/270887/processador-intel-i7-12700kf-3-6ghz-5-0ghz-max-turbo-cache-25mb-dual-core-20-threads-lga-1700-bx8071512700kf
"Processador Intel Core i7-11700F 11ª Geração, 2.5 GHz (4.8GHz Turbo), Cache 16MB, Octa Core, 16 Threads, LGA1200 - BX8070811700F","R$ 1.459,99",https://www.kabum.com.br/produto/148916/processador-intel-core-i7-11700f-11-geracao-2-5-ghz-4-8ghz-turbo-cache-16mb-octa-core-16-threads-lga1200-bx8070811700f
"Processador Intel Core I3-13100, 3.4ghz (4.5ghz Turbo), Lga1700, 12MB Cache, 13ª Geração","R$ 1.064,51",https://www.kabum.com.br/produto/450194/processador-intel-core-i3-13100-3-4ghz-4-5ghz-turbo-lga1700-12mb-cache-13-geracao
"Processador Intel Core I7 10700K 10ª Geração, 3.80GHz, Cache 16MB, Octa Core, 16 Threads, LGA 1200 - BX8070110700K","R$ 2.929,00",https://www.kabum.com.br/produto/169573/processador-intel-core-i7-10700k-10-geracao-3-80ghz-cache-16mb-octa-core-16-threads-lga-1200-bx8070110700k
"Processador Intel Core I7-11700k, 3.6ghz (5ghz Turbo) LGA1200, 16MB Cache, 11ª Ger, Bx8070811700k","R$ 3.043,31",https://www.kabum.com.br/produto/442572/processador-intel-core-i7-11700k-3-6ghz-5ghz-turbo-lga1200-16mb-cache-11-ger-bx8070811700k
"Processador Intel Core I7-11700K 11ª Geração, 3.6GHz (4.9GHz Turbo), Cache 16MB, LGA 1200 - BX8070811700K","R$ 1.979,10",https://www.kabum.com.br/produto/229973/processador-intel-core-i7-11700k-11-geracao-3-6ghz-4-9ghz-turbo-cache-16mb-lga-1200-bx8070811700k
"Processador Intel I7-12700F 12ª Geração, 2.1GHz Turbo, Cache 25MB, Dual Core, 20 Threads, LGA 1700 - BX8071512700F","R$ 2.011,95",https://www.kabum.com.br/produto/352516/processador-intel-i7-12700f-12-geracao-2-1ghz-turbo-cache-25mb-dual-core-20-threads-lga-1700-bx8071512700f
"Processador Intel Core I7-11700KF 11ª Geração, 3.6GHz (4.9GHz Turbo), Cache 16MB, LGA 1200 - BX8070811700KF","R$ 1.700,07",https://www.kabum.com.br/produto/169445/processador-intel-core-i7-11700kf-11-geracao-3-6ghz-4-9ghz-turbo-cache-16mb-lga-1200-bx8070811700kf
"Processador Intel Core I7-10700KA, 3.8GHz, Cachê 16MB, Octa Core, LGA 1200 - BX8070110700KA","R$ 2.600,91",https://www.kabum.com.br/produto/199676/processador-intel-core-i7-10700ka-3-8ghz-cache-16mb-octa-core-lga-1200-bx8070110700ka
"Processador Intel I7 12700 12ª Geração, 2.1GHz, Cache 25MB, Dual Core, 20 Threads, LGA 1700 - BX8071512700","R$ 2.201,95",https://www.kabum.com.br/produto/339790/processador-intel-i7-12700-12-geracao-2-1ghz-cache-25mb-dual-core-20-threads-lga-1700-bx8071512700
"Processador Intel Core I9-13900kf, Lga 1700, 36MB Cache - Bx8071513900kf","R$ 3.912,21",https://www.kabum.com.br/produto/453358/processador-intel-core-i9-13900kf-lga-1700-36mb-cache-bx8071513900kf
"Processador Intel Core I7-3770, Intel LGA 1155, 3.40GHZ, Cache 8MB, 8 Threads","R$ 808,00",https://www.kabum.com.br/produto/519809/processador-intel-core-i7-3770-intel-lga-1155-3-40ghz-cache-8mb-8-threads
Processador Intel Core i7 10700 2.90GHz,"R$ 1.944,81",https://www.kabum.com.br/produto/496252/processador-intel-core-i7-10700-2-90ghz
Processador Intel Core i7 10700F 2.90GHz,"R$ 1.983,51",https://www.kabum.com.br/produto/496739/processador-intel-core-i7-10700f-2-90ghz
Processador Intel i7-11700K Rocket Lake 3.60GHz,"R$ 2.795,31",https://www.kabum.com.br/produto/497469/processador-intel-i7-11700k-rocket-lake-3-60ghz
Processador Intel Core i7 10700K 3.80GHz,"R$ 2.335,41",https://www.kabum.com.br/produto/496626/processador-intel-core-i7-10700k-3-80ghz
Processador Intel Core i7 11700 2.50GHz,"R$ 2.414,61",https://www.kabum.com.br/produto/496250/processador-intel-core-i7-11700-2-50ghz
Processador Intel Core i7 10700KF 3.80GHz,"R$ 2.213,91",https://www.kabum.com.br/produto/497468/processador-intel-core-i7-10700kf-3-80ghz
Processador Intel i7-11700KF 3.6GHz,"R$ 2.726,91",https://www.kabum.com.br/produto/496398/processador-intel-i7-11700kf-3-6ghz
"Processador Intel Core I7 6700 Skylake, 3.4GHz (Turbo Max 4.00GHz), Cache 8MB, LGA 1151","R$ 1.419,00",https://www.kabum.com.br/produto/162110/processador-intel-core-i7-6700-skylake-3-4ghz-turbo-max-4-00ghz-cache-8mb-lga-1151
"Processador Intel Core I7 12700F, 2.1GHz - Bx8071512700fI","R$ 2.650,90",https://www.kabum.com.br/produto/315017/processador-intel-core-i7-12700f-2-1ghz-bx8071512700fi
